"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.296166600E-2,-5.865794048E-2,-4.525041282E-1,9.654618263E0,9.665394692E0
4.465317600E-2,-7.781155407E-2,-4.728548229E-1,9.671378136E0,9.683243329E0
6.043338500E-2,-7.182604820E-2,-4.129997790E-1,9.664195061E0,9.673282482E0
7.332476500E-2,-8.619125932E-2,-4.596867263E-1,9.671378136E0,9.682680200E0
8.479240800E-2,-6.224924326E-2,-4.668693244E-1,9.660603523E0,9.672078493E0
9.569589100E-2,-8.020575345E-2,-4.417302012E-1,9.662998199E0,9.673421977E0
1.068194040E-1,-7.182604820E-2,-4.381389022E-1,9.660603523E0,9.670800645E0
1.165360560E-1,-6.823474914E-2,-4.596867263E-1,9.664195061E0,9.675362217E0
1.264982620E-1,-7.422025502E-2,-4.393360019E-1,9.670180321E0,9.680439670E0
1.363648340E-1,-7.182604820E-2,-4.357447028E-1,9.661801338E0,9.671889036E0
1.463028590E-1,-7.422025502E-2,-4.752490520E-1,9.660603523E0,9.672571051E0
1.562679400E-1,-7.182604820E-2,-4.453215301E-1,9.668983459E0,9.679499542E0
1.662439700E-1,-8.259996027E-2,-4.321534038E-1,9.664195061E0,9.674205161E0
1.762973750E-1,-7.541735470E-2,-4.560954273E-1,9.653421402E0,9.664484238E0
1.862831400E-1,-7.302315533E-2,-4.429273009E-1,9.662998199E0,9.673419828E0
1.963009970E-1,-7.781155407E-2,-4.525041282E-1,9.666589737E0,9.677487885E0
2.062716960E-1,-8.020575345E-2,-4.465186298E-1,9.657012939E0,9.667663149E0
2.162666550E-1,-8.379705995E-2,-4.501099288E-1,9.670180321E0,9.681012774E0
2.263123380E-1,-7.302315533E-2,-4.489128292E-1,9.670180321E0,9.680869927E0
2.362977050E-1,-8.858546615E-2,-4.429273009E-1,9.664195061E0,9.674745379E0
2.463287220E-1,-8.020575345E-2,-4.525041282E-1,9.645041466E0,9.655983524E0
2.562990480E-1,-7.182604820E-2,-4.513070285E-1,9.665391922E0,9.676189230E0
2.663405130E-1,-8.020575345E-2,-4.572925270E-1,9.662998199E0,9.674145111E0
2.763552040E-1,-7.781155407E-2,-4.429273009E-1,9.671378136E0,9.681828044E0
2.863757010E-1,-7.541735470E-2,-4.572925270E-1,9.667786598E0,9.678889499E0
2.963558450E-1,-8.259996027E-2,-4.453215301E-1,9.659406662E0,9.670019187E0
3.063869590E-1,-7.781155407E-2,-4.537012279E-1,9.664195061E0,9.675151969E0
3.163824370E-1,-8.020575345E-2,-4.513070285E-1,9.657012939E0,9.667885493E0
3.263054890E-1,-7.900865376E-2,-4.465186298E-1,9.660603523E0,9.671239925E0
3.363318330E-1,-7.422025502E-2,-4.393360019E-1,9.662998199E0,9.673265166E0
3.463434160E-1,-7.062894851E-2,-4.429273009E-1,9.658209801E0,9.668618805E0
3.563759780E-1,-8.619125932E-2,-4.513070285E-1,9.666589737E0,9.677502989E0
3.663622860E-1,-7.661445439E-2,-4.477157295E-1,9.658209801E0,9.668884926E0
3.763783040E-1,-7.900865376E-2,-4.501099288E-1,9.649829865E0,9.660644788E0
3.863827190E-1,-7.900865376E-2,-4.405331016E-1,9.651026726E0,9.661398897E0
3.963703170E-1,-7.182604820E-2,-4.489128292E-1,9.660603523E0,9.671294750E0
4.063113040E-1,-7.182604820E-2,-4.465186298E-1,9.653421402E0,9.664009656E0
4.165979170E-1,-7.541735470E-2,-4.501099288E-1,9.664195061E0,9.674965266E0
4.264132810E-1,-7.302315533E-2,-4.489128292E-1,9.657012939E0,9.667717105E0
4.364099730E-1,-7.900865376E-2,-4.501099288E-1,9.655815125E0,9.666623352E0
4.464099860E-1,-8.499415964E-2,-4.513070285E-1,9.657012939E0,9.667926404E0
4.563454610E-1,-7.541735470E-2,-4.525041282E-1,9.659406662E0,9.670293937E0
4.663029120E-1,-7.302315533E-2,-4.501099288E-1,9.657012939E0,9.667772765E0
4.763390080E-1,-7.781155407E-2,-4.537012279E-1,9.659406662E0,9.670368995E0
4.863571340E-1,-7.182604820E-2,-4.537012279E-1,9.668983459E0,9.679888684E0
4.963458840E-1,-7.781155407E-2,-4.501099288E-1,9.660603523E0,9.671396694E0
5.063699990E-1,-7.422025502E-2,-4.572925270E-1,9.655815125E0,9.666922510E0
5.164075770E-1,-6.703764945E-2,-4.572925270E-1,9.654618263E0,9.665674540E0
5.264228250E-1,-7.900865376E-2,-4.537012279E-1,9.657012939E0,9.667987696E0
5.363511780E-1,-7.302315533E-2,-4.453215301E-1,9.653421402E0,9.663963390E0
5.464924120E-1,-6.703764945E-2,-4.357447028E-1,9.670180321E0,9.680224942E0
5.563969870E-1,-6.464344263E-2,-4.513070285E-1,9.662998199E0,9.673747516E0
5.663758370E-1,-7.541735470E-2,-4.525041282E-1,9.643844604E0,9.654749428E0
5.764055740E-1,-8.259996027E-2,-4.441244006E-1,9.654618263E0,9.665180963E0
5.863938020E-1,-7.422025502E-2,-4.489128292E-1,9.662998199E0,9.673704853E0
5.963687240E-1,-6.584054977E-2,-4.704606235E-1,9.668983459E0,9.680646121E0
6.063745180E-1,-8.259996027E-2,-4.465186298E-1,9.665391922E0,9.676053051E0
6.166907480E-1,-7.422025502E-2,-4.417302012E-1,9.659406662E0,9.669786517E0
6.265428480E-1,-7.422025502E-2,-4.465186298E-1,9.653421402E0,9.664027747E0
6.363981160E-1,-8.379705995E-2,-4.501099288E-1,9.651026726E0,9.661880653E0
6.464073390E-1,-6.224924326E-2,-4.501099288E-1,9.658209801E0,9.668892929E0
6.563960130E-1,-7.422025502E-2,-4.477157295E-1,9.668983459E0,9.679628049E0
6.666291000E-1,-7.900865376E-2,-4.477157295E-1,9.673771858E0,9.684449066E0
6.765636900E-1,-6.943184882E-2,-4.692635238E-1,9.659406662E0,9.671047828E0
6.864699960E-1,-8.140286058E-2,-4.560954273E-1,9.667786598E0,9.678881504E0
6.964027320E-1,-8.020575345E-2,-4.381389022E-1,9.668983459E0,9.679237563E0
7.064020430E-1,-6.823474914E-2,-4.572925270E-1,9.658209801E0,9.669270344E0
7.163935730E-1,-7.062894851E-2,-4.453215301E-1,9.673771858E0,9.684273937E0
7.264089740E-1,-8.020575345E-2,-4.381389022E-1,9.667786598E0,9.678041970E0
7.363298250E-1,-7.422025502E-2,-4.501099288E-1,9.670180321E0,9.680934616E0
7.463794690E-1,-7.302315533E-2,-4.513070285E-1,9.667786598E0,9.678590193E0
7.563830150E-1,-7.302315533E-2,-4.584896266E-1,9.659406662E0,9.670557491E0
7.663649970E-1,-8.379705995E-2,-4.477157295E-1,9.647436142E0,9.658182823E0
7.763715610E-1,-7.900865376E-2,-4.369418025E-1,9.665391922E0,9.675585849E0
7.863090870E-1,-5.626374111E-2,-4.465186298E-1,9.673771858E0,9.684234944E0
7.963508450E-1,-7.781155407E-2,-4.560954273E-1,9.672574997E0,9.683634893E0
8.065238860E-1,-7.661445439E-2,-4.501099288E-1,9.668983459E0,9.679757738E0
8.164561610E-1,-7.900865376E-2,-4.537012279E-1,9.659406662E0,9.670378702E0
8.264344600E-1,-7.302315533E-2,-4.525041282E-1,9.661801338E0,9.672667547E0
8.363413960E-1,-8.738835901E-2,-4.537012279E-1,9.668983459E0,9.680016667E0
8.463493170E-1,-7.302315533E-2,-4.477157295E-1,9.671378136E0,9.682010989E0
8.563802050E-1,-7.302315533E-2,-4.525041282E-1,9.672574997E0,9.683429116E0
8.663641120E-1,-7.661445439E-2,-4.441244006E-1,9.678560257E0,9.689047678E0
8.763885660E-1,-7.302315533E-2,-4.441244006E-1,9.661801338E0,9.672279150E0
8.864424080E-1,-8.259996027E-2,-4.525041282E-1,9.666589737E0,9.677527571E0
8.967251620E-1,-7.062894851E-2,-4.453215301E-1,9.673771858E0,9.684273937E0
9.065910960E-1,-7.661445439E-2,-4.548983276E-1,9.665391922E0,9.676394125E0
9.165329950E-1,-7.900865376E-2,-4.584896266E-1,9.671378136E0,9.682562169E0
9.264836320E-1,-7.182604820E-2,-4.560954273E-1,9.666589737E0,9.677610199E0
9.364674930E-1,-6.703764945E-2,-4.513070285E-1,9.676166534E0,9.686917512E0
9.464024960E-1,-8.619125932E-2,-4.465186298E-1,9.659406662E0,9.670105733E0
9.563903880E-1,-7.900865376E-2,-4.537012279E-1,9.659406662E0,9.670378702E0
9.663999590E-1,-7.781155407E-2,-4.501099288E-1,9.668983459E0,9.679767287E0
9.763909950E-1,-8.140286058E-2,-4.489128292E-1,9.672574997E0,9.683328778E0
9.863748200E-1,-7.302315533E-2,-4.489128292E-1,9.672574997E0,9.683261960E0
9.967961860E-1,-7.661445439E-2,-4.501099288E-1,9.671378136E0,9.682149749E0
1.006608353E0,-8.379705995E-2,-4.501099288E-1,9.662998199E0,9.673838695E0
1.016541181E0,-7.661445439E-2,-4.489128292E-1,9.662998199E0,9.673723518E0
1.026458767E0,-8.020575345E-2,-4.393360019E-1,9.668983459E0,9.679291825E0
1.036399982E0,-6.823474914E-2,-4.513070285E-1,9.678560257E0,9.689316935E0
