"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,9.684545517E0,-7.182605099E-3,8.152256608E-1,9.718799635E0
0.000000000E0,9.621099472E0,-3.711012751E-2,7.182605267E-1,9.647944361E0
1.576785100E-2,9.654618263E0,-2.873042040E-2,6.165069342E-1,9.674324785E0
2.843632100E-2,9.682151794E0,-1.915361360E-2,6.165069342E-1,9.701778756E0
3.980373300E-2,9.698910713E0,-2.274491638E-2,5.793967843E-1,9.716228023E0
5.043772600E-2,9.670180321E0,-3.351882473E-2,5.698199868E-1,9.687012221E0
6.075438400E-2,9.680954933E0,-2.873042040E-2,5.674257874E-1,9.697612380E0
7.092219200E-2,9.709685326E0,-2.274491638E-2,5.997475386E-1,9.728216875E0
8.129838800E-2,9.689333916E0,-2.035071515E-2,6.248866320E-1,9.709484496E0
9.205573000E-2,9.678560257E0,-2.274491638E-2,6.871358752E-1,9.702948093E0
1.020616930E-1,9.672574997E0,-2.633621916E-2,7.505822182E-1,9.701689252E0
1.115754300E-1,9.690531731E0,-2.753331885E-2,8.319851160E-1,9.726220362E0
1.214179490E-1,9.694122314E0,-3.950432688E-2,8.978256583E-1,9.735689958E0
1.313779070E-1,9.692925453E0,-3.351882473E-2,9.756371975E-1,9.741960547E0
1.413208810E-1,9.696516991E0,-4.429273307E-2,1.029506683E0,9.751117249E0
1.512973150E-1,9.686940193E0,-4.189852998E-2,1.067813993E0,9.745706363E0
1.612421210E-1,9.689333916E0,-3.711012751E-2,1.085770488E0,9.750049561E0
1.712030400E-1,9.683348656E0,-4.309562966E-2,1.085770488E0,9.744126229E0
1.811940200E-1,9.674968719E0,-4.189852998E-2,1.066616893E0,9.733675914E0
1.911360980E-1,9.685743332E0,-2.873042040E-2,1.010353088E0,9.738339832E0
2.011007570E-1,9.691728592E0,-3.711012751E-2,9.576807022E-1,9.739000595E0
2.110947010E-1,9.695320129E0,-3.711012751E-2,9.097966552E-1,9.737984367E0
2.213618560E-1,9.685743332E0,-2.753331885E-2,8.212111592E-1,9.720533408E0
2.312289490E-1,9.678560257E0,-3.950432688E-2,8.008604646E-1,9.711718011E0
2.412198910E-1,9.689333916E0,-2.513911761E-2,7.984662652E-1,9.722210247E0
2.512551020E-1,9.683348656E0,-2.513911761E-2,7.912836671E-1,9.715657621E0
2.612254420E-1,9.684545517E0,-2.992752194E-2,8.212111592E-1,9.719346958E0
2.712007420E-1,9.678560257E0,-2.873042040E-2,8.439561129E-1,9.715328919E0
2.815524280E-1,9.686940193E0,-3.232172132E-2,8.894459605E-1,9.727742241E0
2.913686360E-1,9.692925453E0,-3.591302410E-2,9.181763530E-1,9.736382357E0
3.012712710E-1,9.688137054E0,-4.189852998E-2,9.481038451E-1,9.734508512E0
3.111790210E-1,9.684545517E0,-4.189852998E-2,9.588778019E-1,9.731989724E0
3.211374270E-1,9.672574997E0,-3.232172132E-2,9.612720013E-1,9.720277549E0
3.312257190E-1,9.684545517E0,-3.471592441E-2,9.684545994E-1,9.732909708E0
3.411602030E-1,9.682151794E0,-3.591302410E-2,9.481038451E-1,9.728527844E0
3.511204140E-1,9.695320129E0,-3.950432688E-2,9.169792533E-1,9.738667463E0
3.611447640E-1,9.680954933E0,-2.633621916E-2,9.002198577E-1,9.722755669E0
3.711763140E-1,9.686940193E0,-2.873042040E-2,8.738836050E-1,9.726320388E0
3.811765680E-1,9.674968719E0,-2.753331885E-2,8.678981066E-1,9.713857366E0
3.912432060E-1,9.686940193E0,-2.992752194E-2,8.583213091E-1,9.724938120E0
4.011645720E-1,9.684545517E0,-2.154781483E-2,8.571242094E-1,9.722425011E0
4.112710100E-1,9.682151794E0,-2.992752194E-2,8.846575022E-1,9.722529399E0
4.214162340E-1,9.680954933E0,-3.711012751E-2,9.074024558E-1,9.723458479E0
4.312563980E-1,9.686940193E0,-3.591302410E-2,9.253589511E-1,9.731104215E0
4.412821570E-1,9.683348656E0,-3.471592441E-2,9.385270476E-1,9.728786122E0
4.515015210E-1,9.684545517E0,-3.591302410E-2,9.409212470E-1,9.730212968E0
4.613310210E-1,9.688137054E0,-3.351882473E-2,9.325415492E-1,9.732972662E0
4.713010830E-1,9.686940193E0,-3.830722719E-2,9.337386489E-1,9.731913769E0
4.811962180E-1,9.677363396E0,-2.992752194E-2,9.133879542E-1,9.720418484E0
4.912934470E-1,9.673771858E0,-3.351882473E-2,8.942343593E-1,9.715072854E0
5.014298220E-1,9.677363396E0,-3.471592441E-2,8.954314590E-1,9.718763552E0
5.112730100E-1,9.679757118E0,-2.633621916E-2,8.834604025E-1,9.720025398E0
5.211828850E-1,9.686940193E0,-2.753331885E-2,8.822633028E-1,9.727073400E0
5.313707650E-1,9.684545517E0,-3.232172132E-2,8.894459605E-1,9.725357612E0
5.415225960E-1,9.695320129E0,-4.189852998E-2,8.954314590E-1,9.736672193E0
5.513196050E-1,9.685743332E0,-3.112462163E-2,9.217676520E-1,9.729555398E0
